event_id,month,cell_count,spatial_coherence,centroid_lon,centroid_lat,min_lon,max_lon,min_lat,max_lat,mean_activity_score,max_activity_score,optical_support_count,viirs_support_count,weather_context_count,dominant_feature,dominant_direction,cells
EVT_202601_001,2026-01,1,False,77.2675,28.502174,77.265,77.27,28.5,28.504348,0.5,0.5,1,0,1,ndwi_mean,positive,cell_00_03
EVT_202601_002,2026-01,2,True,77.2975,28.504348,77.295,77.3,28.5,28.508696,0.5,0.5,2,2,2,ndvi_mean,positive,cell_00_09;cell_01_09
EVT_202601_003,2026-01,1,False,77.3125,28.502174,77.31,77.315,28.5,28.504348,0.5,0.5,1,0,1,ndvi_mean,positive,cell_00_12
EVT_202601_004,2026-01,1,False,77.3375,28.502174,77.335,77.34,28.5,28.504348,0.5,0.5,1,0,1,ndbi_mean,negative,cell_00_17
EVT_202601_005,2026-01,2,True,77.255,28.506522,77.25,77.26,28.504348,28.508696,0.5,0.5,2,0,2,ndbi_mean,negative,cell_01_00;cell_01_01
EVT_202601_006,2026-01,3,True,77.344167,28.509421,77.34,77.35,28.504348,28.513043,0.5833,0.75,3,1,3,ndvi_mean,positive,cell_01_18;cell_02_18;cell_02_19
EVT_202601_007,2026-01,3,True,77.2875,28.515217,77.285,77.29,28.508696,28.521739,0.5,0.5,3,3,3,viirs_avg_rad_mean,positive,cell_02_07;cell_03_07;cell_04_07
EVT_202601_008,2026-01,22,True,77.338409,28.523716,77.32,77.35,28.508696,28.53913,0.6818,1.0,22,18,22,viirs_avg_rad_mean,positive,cell_02_14;cell_02_15;cell_02_16;cell_03_15;cell_03_16;cell_03_17;cell_04_17;cell_04_18;cell_04_19;cell_05_16;cell_05_17;cell_05_18;cell_05_19;cell_06_16;cell_06_17;cell_06_18;cell_06_19;cell_07_18;cell_07_19;cell_08_17;cell_08_18;cell_08_19
EVT_202601_009,2026-01,1,False,77.2675,28.515217,77.265,77.27,28.513043,28.517391,0.5,0.5,1,0,1,ndwi_mean,positive,cell_03_03
EVT_202601_010,2026-01,1,False,77.2775,28.515217,77.275,77.28,28.513043,28.517391,0.5,0.5,1,0,1,ndwi_mean,positive,cell_03_05
EVT_202601_011,2026-01,1,False,77.2975,28.515217,77.295,77.3,28.513043,28.517391,0.5,0.5,1,1,1,ndbi_mean,negative,cell_03_09
EVT_202601_012,2026-01,1,False,77.3175,28.515217,77.315,77.32,28.513043,28.517391,0.75,0.75,1,1,1,ndwi_mean,negative,cell_03_13
EVT_202601_013,2026-01,3,True,77.255833,28.522464,77.25,77.26,28.517391,28.526087,0.5833,0.75,3,0,3,ndbi_mean,negative,cell_04_01;cell_05_00;cell_05_01
EVT_202601_014,2026-01,3,True,77.3125,28.523913,77.31,77.315,28.517391,28.530435,0.5,0.5,3,3,3,viirs_avg_rad_mean,positive,cell_04_12;cell_05_12;cell_06_12
EVT_202601_015,2026-01,1,False,77.3225,28.519565,77.32,77.325,28.517391,28.521739,0.5,0.5,1,1,1,ndbi_mean,positive,cell_04_14
