cell_id,month,optical_evidence_count,optical_features_available,optical_support_ratio,viirs_anomalous,viirs_available,activity_evidence_count,activity_features_available,activity_evidence_score,weather_context_count,weather_features_available,weather_context_ratio,activity_candidate,dominant_activity_feature,dominant_activity_direction,max_activity_deviation,s2_valid_pixel_fraction,viirs_cf_cvg_mean
cell_00_00,2026-01,1,3,0.3333,False,True,1,4,0.25,1,3,0.3333,False,ndvi_mean,negative,3.6576,1.0,12.0
cell_00_01,2026-01,0,3,0.0,False,True,0,4,0.0,1,3,0.3333,False,viirs_avg_rad_mean,positive,2.3217,1.0,12.0
cell_00_02,2026-01,1,3,0.3333,False,True,1,4,0.25,1,3,0.3333,False,ndvi_mean,negative,8.7997,1.0,12.0
cell_00_03,2026-01,2,3,0.6667,False,True,2,4,0.5,1,3,0.3333,True,ndwi_mean,positive,3.9894,1.0,12.0
cell_00_04,2026-01,0,3,0.0,False,True,0,4,0.0,1,3,0.3333,False,viirs_avg_rad_mean,positive,2.2001,1.0,12.05
cell_00_05,2026-01,1,3,0.3333,False,True,1,4,0.25,1,3,0.3333,False,ndwi_mean,positive,6.0688,1.0,13.0
cell_00_06,2026-01,1,3,0.3333,False,True,1,4,0.25,1,3,0.3333,False,ndbi_mean,positive,11.4572,1.0,13.0
cell_00_07,2026-01,0,3,0.0,False,True,0,4,0.0,1,3,0.3333,False,ndvi_mean,positive,0.951,1.0,13.0
cell_00_08,2026-01,1,3,0.3333,False,True,1,4,0.25,1,3,0.3333,False,ndvi_mean,positive,9.6722,1.0,13.0
cell_00_09,2026-01,1,3,0.3333,True,True,2,4,0.5,1,3,0.3333,True,ndwi_mean,positive,34.3945,1.0,13.0
cell_00_10,2026-01,0,3,0.0,True,True,1,4,0.25,1,3,0.3333,False,viirs_avg_rad_mean,positive,14.59,1.0,13.0
cell_00_11,2026-01,0,3,0.0,False,True,0,4,0.0,1,3,0.3333,False,viirs_avg_rad_mean,positive,2.1836,1.0,13.0
cell_00_12,2026-01,2,3,0.6667,False,True,2,4,0.5,1,3,0.3333,True,ndvi_mean,positive,11.0078,1.0,13.46
cell_00_13,2026-01,0,3,0.0,False,True,0,4,0.0,1,3,0.3333,False,viirs_avg_rad_mean,positive,2.3385,1.0,14.0
cell_00_14,2026-01,0,3,0.0,False,True,0,4,0.0,1,3,0.3333,False,ndbi_mean,positive,1.8546,1.0,14.0
cell_00_15,2026-01,1,3,0.3333,False,True,1,4,0.25,1,3,0.3333,False,ndvi_mean,positive,3.3236,1.0,14.0
