threshold_tau,min_baseline_n,feature_level_anomalies,zero_mad_feature_anomalies,candidate_anomalous_cells,total_spatial_events,multi_cell_coherent_events,single_cell_isolated_events
2.0,1,7534,24,1552,131,70,61
2.5,1,6123,24,1271,182,94,88
3.0,1,5613,24,1077,242,111,131
3.5,1,5209,24,931,250,106,144
2.0,2,7534,24,1552,131,70,61
2.5,2,6123,24,1271,182,94,88
3.0,2,5613,24,1077,242,111,131
3.5,2,5209,24,931,250,106,144
2.0,3,7534,24,1552,131,70,61
2.5,3,6123,24,1271,182,94,88
3.0,3,5613,24,1077,242,111,131
3.5,3,5209,24,931,250,106,144
