cell_id,ndvi_mean_mean,ndvi_mean_median,ndvi_mean_std,ndvi_mean_mad,ndvi_mean_min,ndvi_mean_max,ndvi_mean_count,ndbi_mean_mean,ndbi_mean_median,ndbi_mean_std,ndbi_mean_mad,ndbi_mean_min,ndbi_mean_max,ndbi_mean_count,ndwi_mean_mean,ndwi_mean_median,ndwi_mean_std,ndwi_mean_mad,ndwi_mean_min,ndwi_mean_max,ndwi_mean_count,viirs_avg_rad_mean_mean,viirs_avg_rad_mean_median,viirs_avg_rad_mean_std,viirs_avg_rad_mean_mad,viirs_avg_rad_mean_min,viirs_avg_rad_mean_max,viirs_avg_rad_mean_count,viirs_avg_rad_mean_cv,era5_temperature_mean_mean,era5_temperature_mean_median,era5_temperature_mean_std,era5_temperature_mean_mad,era5_temperature_mean_min,era5_temperature_mean_max,era5_temperature_mean_count,era5_precipitation_total_mean,era5_precipitation_total_median,era5_precipitation_total_std,era5_precipitation_total_mad,era5_precipitation_total_min,era5_precipitation_total_max,era5_precipitation_total_count,era5_wind_speed_mean_mean,era5_wind_speed_mean_median,era5_wind_speed_mean_std,era5_wind_speed_mean_mad,era5_wind_speed_mean_min,era5_wind_speed_mean_max,era5_wind_speed_mean_count
cell_00_00,0.0915,0.0987,0.0202,0.0128,0.0446,0.1115,11,0.0415,0.0406,0.0178,0.0061,0.0031,0.0728,11,-0.1434,-0.154,0.0229,0.0146,-0.1686,-0.1067,11,26.5169,25.6955,6.2425,2.9679,16.5448,40.7831,12,0.2354,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_01,0.431,0.4103,0.1314,0.0424,0.2367,0.7519,12,-0.0925,-0.0744,0.0951,0.0515,-0.2977,0.0401,12,-0.4223,-0.4012,0.1004,0.0664,-0.6661,-0.2889,12,22.677,23.1484,3.8811,3.1324,16.2878,28.4066,12,0.1711,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_02,0.6212,0.62,0.1251,0.0597,0.3996,0.8449,12,-0.162,-0.1632,0.1129,0.0749,-0.314,0.0165,12,-0.5756,-0.5744,0.0962,0.0618,-0.7508,-0.4322,12,22.8162,23.3487,3.9825,2.7476,16.9523,29.5003,12,0.1745,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_03,0.5779,0.5888,0.1232,0.0517,0.3254,0.7841,12,-0.1291,-0.1304,0.1022,0.0541,-0.2738,0.0456,12,-0.5341,-0.5459,0.0942,0.0506,-0.692,-0.3601,12,25.2549,25.096,4.7229,3.7962,17.8365,32.663,12,0.187,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_04,0.6126,0.6077,0.1394,0.0988,0.3636,0.8132,12,-0.1663,-0.1666,0.1258,0.0872,-0.3303,0.042,12,-0.5632,-0.5586,0.1085,0.1031,-0.7211,-0.3992,12,21.1933,21.259,3.1545,2.0945,15.5373,25.6031,12,0.1488,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_05,0.5151,0.512,0.1207,0.0743,0.3003,0.7069,12,-0.1302,-0.1282,0.1044,0.0645,-0.3171,0.0306,12,-0.4959,-0.4939,0.0933,0.0826,-0.6331,-0.3566,12,29.3363,29.55,5.6676,3.7046,19.9145,38.578,12,0.1932,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_06,0.3078,0.3096,0.0751,0.0262,0.1356,0.4482,12,-0.0602,-0.0462,0.0663,0.03,-0.1887,0.0422,12,-0.3188,-0.3307,0.0543,0.0324,-0.3884,-0.2048,12,38.4919,38.7697,6.62,4.0494,27.3833,49.1965,12,0.172,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_07,0.2658,0.2768,0.0597,0.0263,0.1317,0.3473,10,-0.0293,-0.0332,0.0293,0.0222,-0.0609,0.0362,10,-0.3033,-0.3187,0.0498,0.0225,-0.3697,-0.1992,10,47.0007,45.8688,8.4927,5.3326,35.2507,64.3988,12,0.1807,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_08,0.3027,0.2993,0.0775,0.0402,0.1417,0.4262,10,-0.0471,-0.0553,0.0351,0.0234,-0.0897,0.0221,10,-0.3432,-0.3505,0.0635,0.0252,-0.4502,-0.2161,10,50.7338,50.1592,8.631,6.2424,38.4315,67.8299,12,0.1701,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
cell_00_09,0.224,0.2167,0.0631,0.037,0.1024,0.3403,11,-0.0136,-0.0161,0.0443,0.0205,-0.1167,0.0549,11,-0.2816,-0.2764,0.0446,0.0286,-0.3371,-0.1963,11,52.2825,53.1538,8.8945,6.716,38.7381,67.4075,12,0.1701,23.8752,26.0813,6.4561,4.041,12.0071,31.3499,12,59.3447,30.0216,78.3186,25.7034,1.6184,283.0278,12,2.2161,2.2648,0.3122,0.2101,1.7241,2.6772,12
