,ndvi_mean,ndbi_mean,ndwi_mean,ndvi_std,ndbi_std,ndwi_std,viirs_avg_rad_mean,viirs_avg_rad_std,era5_temperature_mean,era5_temperature_min,era5_temperature_max,era5_precipitation_total,era5_wind_speed_mean,era5_wind_speed_max
ndvi_mean,1.0,-0.6687114523879951,-0.9695526352981361,0.17221597915676215,0.2172887545193958,0.05045611310604162,-0.05582143296553985,0.13225651434878405,0.24287586270834552,0.22859318891171168,0.2143690583570987,0.09364756605855437,0.2153172543985117,0.14153187275536858
ndbi_mean,-0.6687114523879951,1.0,0.5371251397605066,-0.28902098950790256,-0.27160830787189355,-0.24302210991301937,0.20890417335953465,-0.08643551892500762,-0.194538522364827,-0.23085510744654894,-0.12650189723512562,-0.1286212428330297,-0.016043274988712646,0.06308256697720237
ndwi_mean,-0.9695526352981361,0.5371251397605066,1.0,-0.11942864217201496,-0.1450488653935329,0.011014517692711728,-0.01674868277333505,-0.127188240725831,-0.16439828809309331,-0.1271358991757145,-0.16812379889785728,0.03090266178075919,-0.23032076044344219,-0.15945488004940192
ndvi_std,0.17221597915676215,-0.28902098950790256,-0.11942864217201496,1.0,0.7764303447527318,0.9771679362193137,-0.21137985700750558,0.05537741789100561,0.2574943262564716,0.2194684591274576,0.2117494435429471,-0.04891957107875219,0.30450116704235575,0.21567423495507437
ndbi_std,0.2172887545193958,-0.27160830787189355,-0.1450488653935329,0.7764303447527318,1.0,0.7374522107455516,-0.21871758851916073,0.05929954477767433,0.2110060514304396,0.210983284779244,0.14027498647566977,0.02374126198844942,0.08834139777279815,0.037951805952258666
ndwi_std,0.05045611310604162,-0.24302210991301937,0.011014517692711728,0.9771679362193137,0.7374522107455516,1.0,-0.24238420731902113,0.04858607034170781,0.21001172578558466,0.1807589544810632,0.1626898652944002,-0.057897170136876806,0.253089532308921,0.17472943605853922
viirs_avg_rad_mean,-0.05582143296553985,0.20890417335953465,-0.01674868277333505,-0.21137985700750558,-0.21871758851916073,-0.24238420731902113,1.0,0.28434183366662363,-0.0245528530760043,-0.0891974921207506,0.052996289427414876,-0.1410786028308951,0.07220057666934687,0.06972472608588642
viirs_avg_rad_std,0.13225651434878405,-0.08643551892500762,-0.127188240725831,0.05537741789100561,0.05929954477767433,0.04858607034170781,0.28434183366662363,1.0,-0.11554274665591367,-0.16045728221912206,-0.04973507776997687,-0.11794588957391694,-0.01864260536484145,0.012076084898796717
era5_temperature_mean,0.24287586270834552,-0.194538522364827,-0.16439828809309331,0.2574943262564716,0.2110060514304396,0.21001172578558466,-0.0245528530760043,-0.11554274665591367,1.0,0.9378520175204457,0.9155358449972568,0.5623664517475233,0.5569510713808847,0.44467802058601275
era5_temperature_min,0.22859318891171168,-0.23085510744654894,-0.1271358991757145,0.2194684591274576,0.210983284779244,0.1807589544810632,-0.0891974921207506,-0.16045728221912206,0.9378520175204457,1.0,0.7310678867909208,0.6844931381993047,0.47916526912643365,0.28859809287989996
era5_temperature_max,0.2143690583570987,-0.12650189723512562,-0.16812379889785728,0.2117494435429471,0.14027498647566977,0.1626898652944002,0.052996289427414876,-0.04973507776997687,0.9155358449972568,0.7310678867909208,1.0,0.38443862863258227,0.5791950482559287,0.552755703773342
era5_precipitation_total,0.09364756605855437,-0.1286212428330297,0.03090266178075919,-0.04891957107875219,0.02374126198844942,-0.057897170136876806,-0.1410786028308951,-0.11794588957391694,0.5623664517475233,0.6844931381993047,0.38443862863258227,1.0,0.24182953854382286,0.26092219521564924
era5_wind_speed_mean,0.2153172543985117,-0.016043274988712646,-0.23032076044344219,0.30450116704235575,0.08834139777279815,0.253089532308921,0.07220057666934687,-0.01864260536484145,0.5569510713808847,0.47916526912643365,0.5791950482559287,0.24182953854382286,1.0,0.7901334216557111
era5_wind_speed_max,0.14153187275536858,0.06308256697720237,-0.15945488004940192,0.21567423495507437,0.037951805952258666,0.17472943605853922,0.06972472608588642,0.012076084898796717,0.44467802058601275,0.28859809287989996,0.552755703773342,0.26092219521564924,0.7901334216557111,1.0
