,valid_pixel_count,valid_pixel_fraction,viirs_cf_cvg_mean
ndvi_mean,0.06492918785106752,0.06555307875249362,-0.10863082645135579
ndbi_mean,-0.02209886083107679,-0.024044234818872984,0.0738362667982534
ndwi_mean,-0.14807633039969711,-0.14778848326052219,0.04456653593021434
ndvi_std,0.03829062201750415,0.03752669211505244,-0.14651126420053964
ndbi_std,-0.052285756136477304,-0.05199131591080589,-0.08900664497759694
ndwi_std,0.01310536383961094,0.012494120744657718,-0.13703907498242415
viirs_avg_rad_mean,0.10822467379262572,0.10757471728846812,0.1794079046636222
viirs_avg_rad_std,0.09632662928941912,0.09639999186551344,0.19517047127989334
era5_temperature_mean,-0.2631452460060528,-0.26176872310908533,-0.613165048642566
era5_temperature_min,-0.34459508926452453,-0.34267170807696273,-0.7018885209593024
era5_temperature_max,-0.09819534733442516,-0.09771587211084132,-0.37905732387928714
era5_precipitation_total,-0.5092916738334013,-0.5062363937657428,-0.7026472118818627
era5_wind_speed_mean,0.1158075904092285,0.11527588345200485,-0.3810629285905977
era5_wind_speed_max,0.07852917876107854,0.07813130604359018,-0.38664247863621715
