,ndvi_mean,ndbi_mean,ndwi_mean,ndvi_std,ndbi_std,ndwi_std,viirs_avg_rad_mean,viirs_avg_rad_std,era5_temperature_mean,era5_temperature_min,era5_temperature_max,era5_precipitation_total,era5_wind_speed_mean,era5_wind_speed_max
ndvi_mean,1.0,-0.687059721590832,-0.9625891870218988,0.36141714908478806,0.4376800467425376,0.26881746423196407,-0.06350141149806417,0.1327613561332135,0.2693541411668541,0.25377317058779125,0.2312431390212442,0.1627921867923549,0.20918925544634867,0.18121540954960633
ndbi_mean,-0.687059721590832,1.0,0.5411220830810014,-0.41105036350291213,-0.5418425408618951,-0.36204935291278434,0.22067096370220146,-0.03772313744910406,-0.2140320646340795,-0.28568789341974155,-0.10829798340910275,-0.05523316694923526,0.007330167040017987,0.0801078840258283
ndwi_mean,-0.9625891870218988,0.5411220830810014,1.0,-0.3447568032707396,-0.37279007297678907,-0.25216998574522254,-0.0016008949773771229,-0.15481743933704217,-0.20744021843341745,-0.14127001739837136,-0.20950801125205248,-0.08847315046211654,-0.23861060606764767,-0.2170753652090474
ndvi_std,0.36141714908478806,-0.41105036350291213,-0.3447568032707396,1.0,0.763691393877366,0.9798121611889228,-0.15830349879541739,0.025046667566902155,0.33499607977585344,0.25527277732037135,0.2608155974895838,0.15269419743811108,0.35790823507132885,0.30195715774953663
ndbi_std,0.4376800467425376,-0.5418425408618951,-0.37279007297678907,0.763691393877366,1.0,0.7207605245334967,-0.2058025202853534,0.043272790903902965,0.23005099605614268,0.25493452414240736,0.12675810015088312,0.0450578069032544,0.11646742384362806,0.04778176592732432
ndwi_std,0.26881746423196407,-0.36204935291278434,-0.25216998574522254,0.9798121611889228,0.7207605245334967,1.0,-0.1658779410347525,0.008932563329420551,0.3147979999796921,0.2378195085322104,0.2316939348691026,0.13961377748303058,0.33485254649873697,0.2744374906556804
viirs_avg_rad_mean,-0.06350141149806417,0.22067096370220146,-0.0016008949773771229,-0.15830349879541739,-0.2058025202853534,-0.1658779410347525,1.0,0.2592947015348817,-0.028137430630846158,-0.07108956764711898,0.07065573479049182,-0.1130330317849148,0.07756068985201099,0.0879663052440025
viirs_avg_rad_std,0.1327613561332135,-0.03772313744910406,-0.15481743933704217,0.025046667566902155,0.043272790903902965,0.008932563329420551,0.2592947015348817,1.0,-0.1480193801194,-0.1565110006617458,-0.026263312796964207,-0.13566770496762687,-0.03233104353589577,0.011466341969577758
era5_temperature_mean,0.2693541411668541,-0.2140320646340795,-0.20744021843341745,0.33499607977585344,0.23005099605614268,0.3147979999796921,-0.028137430630846158,-0.1480193801194,1.0,0.9294834450981513,0.77957999565815,0.7874706638374523,0.6170200948129513,0.5600971797076756
era5_temperature_min,0.25377317058779125,-0.28568789341974155,-0.14127001739837136,0.25527277732037135,0.25493452414240736,0.2378195085322104,-0.07108956764711898,-0.1565110006617458,0.9294834450981513,1.0,0.6109336530836821,0.7593600650906789,0.45286232947218097,0.34209043913499876
era5_temperature_max,0.2312431390212442,-0.10829798340910275,-0.20950801125205248,0.2608155974895838,0.12675810015088312,0.2316939348691026,0.07065573479049182,-0.026263312796964207,0.77957999565815,0.6109336530836821,1.0,0.635277696905736,0.4659920273142448,0.5902518734624058
era5_precipitation_total,0.1627921867923549,-0.05523316694923526,-0.08847315046211654,0.15269419743811108,0.0450578069032544,0.13961377748303058,-0.1130330317849148,-0.13566770496762687,0.7874706638374523,0.7593600650906789,0.635277696905736,1.0,0.5891258876089427,0.6217999341986546
era5_wind_speed_mean,0.20918925544634867,0.007330167040017987,-0.23861060606764767,0.35790823507132885,0.11646742384362806,0.33485254649873697,0.07756068985201099,-0.03233104353589577,0.6170200948129513,0.45286232947218097,0.4659920273142448,0.5891258876089427,1.0,0.9030715195293915
era5_wind_speed_max,0.18121540954960633,0.0801078840258283,-0.2170753652090474,0.30195715774953663,0.04778176592732432,0.2744374906556804,0.0879663052440025,0.011466341969577758,0.5600971797076756,0.34209043913499876,0.5902518734624058,0.6217999341986546,0.9030715195293915,1.0
