column_name,category,dtype,total_rows,missing_count,missing_percentage,infinite_count,unique_values,is_constant,is_near_constant,min_value,max_value
cell_id,spatial_temporal_index,object,5520,0,0.0,0,460,False,False,,
month,spatial_temporal_index,object,5520,0,0.0,0,12,False,False,,
start_date,spatial_temporal_index,object,5520,0,0.0,0,12,False,False,,
end_date,spatial_temporal_index,object,5520,0,0.0,0,12,False,False,,
ndvi_mean,primary_analytical,float64,5520,256,4.64,0,5264,False,False,-1.0,0.8833860434477724
ndbi_mean,primary_analytical,float64,5520,256,4.64,0,5264,False,False,-0.46893660419783684,0.9999999874903832
ndwi_mean,primary_analytical,float64,5520,256,4.64,0,5264,False,False,-0.7834752122389587,1.0
ndvi_std,primary_analytical,float64,5520,256,4.64,0,5262,False,False,0.0,0.8354462160556826
ndbi_std,primary_analytical,float64,5520,256,4.64,0,5262,False,False,0.0,0.6210833874613053
ndwi_std,primary_analytical,float64,5520,256,4.64,0,5261,False,False,0.0,0.8627315050343571
valid_pixel_count,quality_context,int64,5520,0,0.0,0,324,False,False,0.0,650.0
valid_pixel_fraction,quality_context,float64,5520,0,0.0,0,299,False,False,0.0,1.0
viirs_avg_rad_mean,primary_analytical,float64,5520,0,0.0,0,5520,False,False,6.713880626123343,116.43774979951368
viirs_avg_rad_std,primary_analytical,float64,5520,0,0.0,0,5494,False,False,0.010000228881835938,31.787587530827928
viirs_cf_cvg_mean,quality_context,float64,5520,0,0.0,0,2019,False,False,4.454237288135594,17.0
viirs_cf_cvg_min,quality_context,int64,5520,0,0.0,0,14,False,False,4.0,17.0
viirs_cf_cvg_max,quality_context,int64,5520,0,0.0,0,13,False,False,5.0,17.0
viirs_valid_pixel_count,quality_context,int64,5520,0,0.0,0,5,False,False,2.0,6.0
viirs_valid_pixel_fraction,quality_context,float64,5520,0,0.0,0,1,True,False,1.0,1.0
era5_temperature_mean,primary_analytical,float64,5520,0,0.0,0,24,False,False,11.97305323282893,31.34988386366077
era5_temperature_min,primary_analytical,float64,5520,0,0.0,0,24,False,False,3.4342895507812727,25.158914184570335
era5_temperature_max,primary_analytical,float64,5520,0,0.0,0,24,False,False,22.289880371093773,42.45366821289065
era5_precipitation_total,primary_analytical,float64,5520,0,0.0,0,24,False,False,1.618355067286359,283.02777937085466
era5_wind_speed_mean,primary_analytical,float64,5520,0,0.0,0,24,False,False,1.6982776853285324,2.677155988671417
era5_wind_speed_max,primary_analytical,float64,5520,0,0.0,0,24,False,False,4.087394390543527,8.851056801444797
era5_observation_count,quality_context,int64,5520,0,0.0,0,3,False,True,696.0,744.0
era5_source_lat,quality_context,float64,5520,0,0.0,0,1,True,False,28.5501,28.5501
era5_source_lon,quality_context,float64,5520,0,0.0,0,2,False,True,77.2504,77.3504
