feature,count,missing_count,missing_pct,mean,median,std,min,max,q1,q3,iqr,skewness,kurtosis
ndvi_mean,5264,256,4.64,0.2996,0.2904,0.152,-1.0,0.8834,0.2022,0.3894,0.1872,-0.464,6.3748
ndbi_mean,5264,256,4.64,-0.0643,-0.0528,0.0965,-0.4689,1.0,-0.1101,-0.0052,0.1049,0.9242,17.1031
ndwi_mean,5264,256,4.64,-0.3118,-0.3107,0.1363,-0.7835,1.0,-0.39,-0.2345,0.1555,1.1144,9.9282
ndvi_std,5264,256,4.64,0.1703,0.1636,0.0711,0.0,0.8354,0.1237,0.2036,0.0799,1.356,5.2437
ndbi_std,5264,256,4.64,0.0923,0.088,0.0362,0.0,0.6211,0.0701,0.1085,0.0384,2.8448,25.9694
ndwi_std,5264,256,4.64,0.1452,0.1349,0.0678,0.0,0.8627,0.1026,0.1709,0.0683,1.9502,8.5003
valid_pixel_count,5520,0,0.0,580.6877,634.0,167.4697,0.0,650.0,627.0,642.0,15.0,-2.8879,6.7087
valid_pixel_fraction,5520,0,0.0,0.9131,1.0,0.2624,0.0,1.0,1.0,1.0,0.0,-2.9107,6.8154
viirs_avg_rad_mean,5520,0,0.0,36.8882,36.5421,15.1135,6.7139,116.4377,25.3022,46.5735,21.2714,0.5524,0.8357
viirs_avg_rad_std,5520,0,0.0,4.2942,3.4727,3.352,0.01,31.7876,2.0125,5.6649,3.6523,2.0686,7.0601
viirs_cf_cvg_mean,5520,0,0.0,11.6031,12.0,3.3418,4.4542,17.0,8.0,14.0,6.0,-0.2439,-1.116
viirs_cf_cvg_min,5520,0,0.0,11.3723,12.0,3.3844,4.0,17.0,8.0,14.0,6.0,-0.1973,-1.0774
viirs_cf_cvg_max,5520,0,0.0,11.8348,13.0,3.2969,5.0,17.0,9.0,14.0,5.0,-0.2815,-1.1306
viirs_valid_pixel_count,5520,0,0.0,3.8978,4.0,0.6294,2.0,6.0,4.0,4.0,0.0,-1.1744,5.6538
viirs_valid_pixel_fraction,5520,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
era5_temperature_mean,5520,0,0.0,23.8558,26.0813,6.1812,11.9731,31.3499,19.6764,29.0734,9.397,-0.5852,-1.0478
era5_temperature_min,5520,0,0.0,14.7806,15.4714,6.9711,3.4343,25.1589,8.5835,19.9793,11.3958,-0.0694,-1.2167
era5_temperature_max,5520,0,0.0,33.9676,35.6315,6.2044,22.2899,42.4537,29.8966,37.1016,7.2049,-0.4629,-0.8621
era5_precipitation_total,5520,0,0.0,59.7956,30.2717,74.1425,1.6184,283.0278,10.7133,79.1942,68.4809,1.9911,3.3608
era5_wind_speed_mean,5520,0,0.0,2.2052,2.2648,0.2997,1.6983,2.6772,1.9859,2.4472,0.4613,-0.3129,-1.1893
era5_wind_speed_max,5520,0,0.0,5.9252,5.698,1.292,4.0874,8.8511,5.0241,6.8068,1.7826,0.659,-0.1418
era5_observation_count,5520,0,0.0,732.0,744.0,15.4933,696.0,744.0,720.0,744.0,24.0,-0.9295,-0.24
era5_source_lat,5520,0,0.0,28.5501,28.5501,0.0,28.5501,28.5501,28.5501,28.5501,0.0,0.0,0.0
era5_source_lon,5520,0,0.0,77.3004,77.3004,0.05,77.2504,77.3504,77.2504,77.3504,0.1,-0.0,-2.0
