cell_id,s2_valid_months,s2_missing_months,viirs_valid_months,era5_valid_months
cell_00_00,11,1,12,12
cell_00_01,12,0,12,12
cell_00_02,12,0,12,12
cell_00_03,12,0,12,12
cell_00_04,12,0,12,12
cell_00_05,12,0,12,12
cell_00_06,12,0,12,12
cell_00_07,10,2,12,12
cell_00_08,10,2,12,12
cell_00_09,11,1,12,12
cell_00_10,12,0,12,12
cell_00_11,12,0,12,12
cell_00_12,12,0,12,12
cell_00_13,10,2,12,12
cell_00_14,10,2,12,12
cell_00_15,10,2,12,12
cell_00_16,10,2,12,12
cell_00_17,10,2,12,12
cell_00_18,10,2,12,12
cell_00_19,12,0,12,12
cell_01_00,12,0,12,12
cell_01_01,12,0,12,12
cell_01_02,12,0,12,12
cell_01_03,12,0,12,12
cell_01_04,12,0,12,12
cell_01_05,12,0,12,12
cell_01_06,11,1,12,12
cell_01_07,11,1,12,12
cell_01_08,10,2,12,12
cell_01_09,11,1,12,12
cell_01_10,12,0,12,12
cell_01_11,12,0,12,12
cell_01_12,11,1,12,12
cell_01_13,10,2,12,12
cell_01_14,10,2,12,12
cell_01_15,10,2,12,12
cell_01_16,11,1,12,12
cell_01_17,11,1,12,12
cell_01_18,11,1,12,12
cell_01_19,11,1,12,12
cell_02_00,12,0,12,12
cell_02_01,12,0,12,12
cell_02_02,12,0,12,12
cell_02_03,12,0,12,12
cell_02_04,12,0,12,12
cell_02_05,11,1,12,12
cell_02_06,11,1,12,12
cell_02_07,11,1,12,12
cell_02_08,10,2,12,12
cell_02_09,11,1,12,12
cell_02_10,12,0,12,12
cell_02_11,12,0,12,12
cell_02_12,11,1,12,12
cell_02_13,11,1,12,12
cell_02_14,10,2,12,12
cell_02_15,11,1,12,12
cell_02_16,11,1,12,12
cell_02_17,11,1,12,12
cell_02_18,11,1,12,12
cell_02_19,12,0,12,12
cell_03_00,12,0,12,12
cell_03_01,12,0,12,12
cell_03_02,12,0,12,12
cell_03_03,12,0,12,12
cell_03_04,12,0,12,12
cell_03_05,11,1,12,12
cell_03_06,11,1,12,12
cell_03_07,10,2,12,12
cell_03_08,11,1,12,12
cell_03_09,12,0,12,12
cell_03_10,12,0,12,12
cell_03_11,12,0,12,12
cell_03_12,10,2,12,12
cell_03_13,11,1,12,12
cell_03_14,11,1,12,12
cell_03_15,11,1,12,12
cell_03_16,11,1,12,12
cell_03_17,11,1,12,12
cell_03_18,12,0,12,12
cell_03_19,12,0,12,12
cell_04_00,12,0,12,12
cell_04_01,12,0,12,12
cell_04_02,12,0,12,12
cell_04_03,12,0,12,12
cell_04_04,12,0,12,12
cell_04_05,11,1,12,12
cell_04_06,11,1,12,12
cell_04_07,11,1,12,12
cell_04_08,11,1,12,12
cell_04_09,11,1,12,12
cell_04_10,12,0,12,12
cell_04_11,11,1,12,12
cell_04_12,11,1,12,12
cell_04_13,10,2,12,12
cell_04_14,10,2,12,12
cell_04_15,11,1,12,12
cell_04_16,11,1,12,12
cell_04_17,11,1,12,12
cell_04_18,12,0,12,12
cell_04_19,12,0,12,12
cell_05_00,12,0,12,12
cell_05_01,12,0,12,12
cell_05_02,12,0,12,12
cell_05_03,12,0,12,12
cell_05_04,12,0,12,12
cell_05_05,12,0,12,12
cell_05_06,12,0,12,12
cell_05_07,11,1,12,12
cell_05_08,11,1,12,12
cell_05_09,11,1,12,12
cell_05_10,11,1,12,12
cell_05_11,11,1,12,12
cell_05_12,11,1,12,12
cell_05_13,10,2,12,12
cell_05_14,10,2,12,12
cell_05_15,11,1,12,12
cell_05_16,11,1,12,12
cell_05_17,11,1,12,12
cell_05_18,12,0,12,12
cell_05_19,12,0,12,12
cell_06_00,12,0,12,12
cell_06_01,12,0,12,12
cell_06_02,12,0,12,12
cell_06_03,12,0,12,12
cell_06_04,12,0,12,12
cell_06_05,12,0,12,12
cell_06_06,11,1,12,12
cell_06_07,11,1,12,12
cell_06_08,11,1,12,12
cell_06_09,11,1,12,12
cell_06_10,11,1,12,12
cell_06_11,11,1,12,12
cell_06_12,11,1,12,12
cell_06_13,10,2,12,12
cell_06_14,11,1,12,12
cell_06_15,11,1,12,12
cell_06_16,11,1,12,12
cell_06_17,11,1,12,12
cell_06_18,12,0,12,12
cell_06_19,12,0,12,12
cell_07_00,12,0,12,12
cell_07_01,12,0,12,12
cell_07_02,12,0,12,12
cell_07_03,12,0,12,12
cell_07_04,12,0,12,12
cell_07_05,12,0,12,12
cell_07_06,11,1,12,12
cell_07_07,11,1,12,12
cell_07_08,12,0,12,12
cell_07_09,11,1,12,12
cell_07_10,11,1,12,12
cell_07_11,10,2,12,12
cell_07_12,10,2,12,12
cell_07_13,11,1,12,12
cell_07_14,11,1,12,12
cell_07_15,12,0,12,12
cell_07_16,12,0,12,12
cell_07_17,12,0,12,12
cell_07_18,12,0,12,12
cell_07_19,12,0,12,12
cell_08_00,12,0,12,12
cell_08_01,12,0,12,12
cell_08_02,12,0,12,12
cell_08_03,12,0,12,12
cell_08_04,12,0,12,12
cell_08_05,11,1,12,12
cell_08_06,12,0,12,12
cell_08_07,12,0,12,12
cell_08_08,11,1,12,12
cell_08_09,11,1,12,12
cell_08_10,11,1,12,12
cell_08_11,10,2,12,12
cell_08_12,11,1,12,12
cell_08_13,11,1,12,12
cell_08_14,12,0,12,12
cell_08_15,12,0,12,12
cell_08_16,12,0,12,12
cell_08_17,12,0,12,12
cell_08_18,12,0,12,12
cell_08_19,12,0,12,12
cell_09_00,11,1,12,12
cell_09_01,12,0,12,12
cell_09_02,12,0,12,12
cell_09_03,12,0,12,12
cell_09_04,12,0,12,12
cell_09_05,12,0,12,12
cell_09_06,11,1,12,12
cell_09_07,11,1,12,12
cell_09_08,11,1,12,12
cell_09_09,11,1,12,12
cell_09_10,11,1,12,12
cell_09_11,10,2,12,12
cell_09_12,11,1,12,12
cell_09_13,12,0,12,12
cell_09_14,12,0,12,12
cell_09_15,12,0,12,12
cell_09_16,12,0,12,12
cell_09_17,12,0,12,12
cell_09_18,12,0,12,12
cell_09_19,12,0,12,12
cell_10_00,12,0,12,12
cell_10_01,12,0,12,12
cell_10_02,12,0,12,12
cell_10_03,12,0,12,12
cell_10_04,12,0,12,12
cell_10_05,11,1,12,12
cell_10_06,11,1,12,12
cell_10_07,11,1,12,12
cell_10_08,11,1,12,12
cell_10_09,10,2,12,12
cell_10_10,11,1,12,12
cell_10_11,10,2,12,12
cell_10_12,11,1,12,12
cell_10_13,12,0,12,12
cell_10_14,12,0,12,12
cell_10_15,12,0,12,12
cell_10_16,12,0,12,12
cell_10_17,11,1,12,12
cell_10_18,12,0,12,12
cell_10_19,12,0,12,12
cell_11_00,12,0,12,12
cell_11_01,12,0,12,12
cell_11_02,12,0,12,12
cell_11_03,12,0,12,12
cell_11_04,12,0,12,12
cell_11_05,11,1,12,12
cell_11_06,11,1,12,12
cell_11_07,11,1,12,12
cell_11_08,10,2,12,12
cell_11_09,10,2,12,12
cell_11_10,11,1,12,12
cell_11_11,10,2,12,12
cell_11_12,11,1,12,12
cell_11_13,12,0,12,12
cell_11_14,12,0,12,12
cell_11_15,12,0,12,12
cell_11_16,12,0,12,12
cell_11_17,12,0,12,12
cell_11_18,12,0,12,12
cell_11_19,12,0,12,12
cell_12_00,12,0,12,12
cell_12_01,12,0,12,12
cell_12_02,12,0,12,12
cell_12_03,12,0,12,12
cell_12_04,11,1,12,12
cell_12_05,11,1,12,12
cell_12_06,11,1,12,12
cell_12_07,11,1,12,12
cell_12_08,11,1,12,12
cell_12_09,10,2,12,12
cell_12_10,12,0,12,12
cell_12_11,11,1,12,12
cell_12_12,11,1,12,12
cell_12_13,12,0,12,12
cell_12_14,12,0,12,12
cell_12_15,12,0,12,12
cell_12_16,12,0,12,12
cell_12_17,12,0,12,12
cell_12_18,11,1,12,12
cell_12_19,12,0,12,12
cell_13_00,12,0,12,12
cell_13_01,12,0,12,12
cell_13_02,12,0,12,12
