month,feature,mean,median,std,min,max,valid_count
2023-04,ndvi_mean,0.3155,0.3046,0.1171,-0.0103,0.7194,460
2023-04,ndbi_mean,-0.0624,-0.0529,0.0764,-0.4683,0.0737,460
2023-04,ndwi_mean,-0.3303,-0.3277,0.0978,-0.6644,0.0556,460
2023-04,viirs_avg_rad_mean,38.3098,41.3231,13.4982,11.5389,83.0099,460
2023-04,era5_temperature_mean,26.773,26.773,0.0063,26.7666,26.7793,460
2023-04,era5_precipitation_total,20.8326,20.8326,0.2504,20.5825,21.0828,460
2023-04,era5_wind_speed_mean,2.3566,2.3566,0.0037,2.3529,2.3603,460
2023-05,ndvi_mean,0.3299,0.3179,0.1271,-0.0488,0.7544,460
2023-05,ndbi_mean,-0.063,-0.0522,0.078,-0.444,0.0798,460
2023-05,ndwi_mean,-0.3444,-0.3355,0.1046,-0.6916,0.0764,460
2023-05,viirs_avg_rad_mean,37.3056,39.296,12.3114,12.5508,75.7021,460
2023-05,era5_temperature_mean,29.293,29.293,0.0081,29.2849,29.3011,460
2023-05,era5_precipitation_total,73.4715,73.4715,0.5927,72.8794,74.0635,460
2023-05,era5_wind_speed_mean,2.4233,2.4233,0.0086,2.4147,2.4318,460
2023-06,ndvi_mean,0.3308,0.317,0.1416,-0.1842,0.8558,460
2023-06,ndbi_mean,-0.0594,-0.0484,0.0783,-0.4689,0.0929,460
2023-06,ndwi_mean,-0.3422,-0.3356,0.1207,-0.7653,0.2101,460
2023-06,viirs_avg_rad_mean,35.5045,36.6609,10.6198,13.0871,62.4918,460
2023-06,era5_temperature_mean,31.3468,31.3468,0.0031,31.3438,31.3499,460
2023-06,era5_precipitation_total,99.138,99.138,4.5567,94.5862,103.6897,460
2023-06,era5_wind_speed_mean,2.4678,2.4678,0.0075,2.4603,2.4753,460
2023-07,ndvi_mean,0.3149,0.3131,0.111,-0.0745,0.5701,342
2023-07,ndbi_mean,-0.1164,-0.1046,0.1063,-0.4441,0.2035,342
2023-07,ndwi_mean,-0.2579,-0.2626,0.0946,-0.4736,0.1466,342
2023-07,viirs_avg_rad_mean,32.3933,33.3198,11.9818,10.1205,73.783,460
2023-07,era5_temperature_mean,28.9894,28.9894,0.0135,28.9759,29.0029,460
2023-07,era5_precipitation_total,277.6857,277.6857,5.3479,272.3437,283.0278,460
2023-07,era5_wind_speed_mean,2.1656,2.1656,0.011,2.1547,2.1766,460
2023-08,ndvi_mean,0.3611,0.3537,0.1801,-0.0905,0.8834,460
2023-08,ndbi_mean,-0.1007,-0.09,0.0935,-0.3605,0.107,460
2023-08,ndwi_mean,-0.3712,-0.3704,0.1527,-0.7835,0.0419,460
2023-08,viirs_avg_rad_mean,34.2907,35.1171,10.1264,13.7812,63.8934,460
2023-08,era5_temperature_mean,29.6263,29.6263,0.0307,29.5956,29.6569,460
2023-08,era5_precipitation_total,64.6452,64.6452,3.8976,60.7519,68.5386,460
