cell_id,calendar_month,feature,n_observations,mean,median,std,mad,q1,q3,iqr,min,max,zero_mad_flag
cell_00_00,1,ndvi_mean,3,0.0812,0.0951,0.0321,0.0089,0.0698,0.0996,0.0297,0.0446,0.104,False
cell_00_00,1,ndbi_mean,3,0.0438,0.0404,0.0289,0.0237,0.0286,0.0573,0.0288,0.0167,0.0743,False
cell_00_00,1,ndwi_mean,3,-0.1487,-0.1516,0.0406,0.0362,-0.1697,-0.1291,0.0406,-0.1878,-0.1067,False
cell_00_00,1,viirs_avg_rad_mean,3,21.604,22.2447,4.7712,3.7778,19.3947,24.1336,4.7388,16.5448,26.0224,False
cell_00_00,1,era5_temperature_mean,3,12.7796,12.6738,0.8304,0.6667,12.3405,13.1658,0.8253,12.0071,13.6578,False
cell_00_00,1,era5_precipitation_total,3,16.8589,12.9574,7.5697,0.9214,12.4967,19.2704,6.7737,12.0359,25.5834,False
cell_00_00,1,era5_wind_speed_mean,3,2.0941,2.2186,0.3147,0.1089,1.9774,2.2731,0.2957,1.7362,2.3275,False
cell_00_00,2,ndvi_mean,3,0.1032,0.1035,0.0049,0.0045,0.1008,0.1058,0.0049,0.0981,0.108,False
cell_00_00,2,ndbi_mean,3,0.0278,0.0318,0.0116,0.0051,0.0233,0.0343,0.0111,0.0147,0.0369,False
cell_00_00,2,ndwi_mean,3,-0.1585,-0.1577,0.005,0.0037,-0.1608,-0.1558,0.005,-0.1639,-0.154,False
cell_00_00,2,viirs_avg_rad_mean,3,30.5411,33.323,4.8861,0.078,29.1112,33.362,4.2508,24.8993,33.401,False
cell_00_00,2,era5_temperature_mean,3,17.6183,17.8962,1.3169,0.8779,17.0404,18.3351,1.2947,16.1846,18.7741,False
cell_00_00,2,era5_precipitation_total,3,13.6288,15.2474,11.6497,9.1371,8.2509,19.8159,11.565,1.2545,24.3845,False
cell_00_00,2,era5_wind_speed_mean,3,2.5688,2.6264,0.1164,0.0188,2.5306,2.6358,0.1052,2.4349,2.6452,False
cell_00_00,3,ndvi_mean,3,0.0933,0.0911,0.0047,0.0009,0.0906,0.0949,0.0043,0.0901,0.0987,False
cell_00_00,3,ndbi_mean,3,0.0511,0.0472,0.0129,0.0066,0.0439,0.0563,0.0125,0.0406,0.0655,False
cell_00_00,3,ndwi_mean,3,-0.162,-0.1625,0.003,0.0022,-0.1636,-0.1607,0.0029,-0.1647,-0.1588,False
cell_00_00,3,viirs_avg_rad_mean,3,30.6192,29.5705,2.0249,0.2366,29.4521,31.2619,1.8098,29.3338,32.9534,False
cell_00_00,3,era5_temperature_mean,3,22.1621,22.2202,0.5605,0.4712,21.8975,22.4558,0.5583,21.5749,22.6914,False
cell_00_00,3,era5_precipitation_total,3,40.5749,39.4606,28.2214,26.5335,26.1939,54.3988,28.2049,12.9272,69.337,False
cell_00_00,3,era5_wind_speed_mean,3,2.4643,2.5074,0.3964,0.3299,2.2777,2.6724,0.3946,2.0481,2.8373,False
cell_00_00,4,ndvi_mean,3,0.0954,0.0879,0.014,0.0012,0.0873,0.0997,0.0124,0.0868,0.1115,False
cell_00_00,4,ndbi_mean,3,0.0479,0.0478,0.0122,0.0121,0.0418,0.054,0.0122,0.0357,0.0602,False
cell_00_00,4,ndwi_mean,3,-0.1611,-0.1648,0.0098,0.0038,-0.1667,-0.1574,0.0093,-0.1686,-0.15,False
cell_00_00,4,viirs_avg_rad_mean,3,29.1689,29.3126,2.021,1.8015,28.1963,30.2134,2.0171,27.0799,31.1141,False
cell_00_00,4,era5_temperature_mean,3,28.7798,28.747,2.0298,1.9803,27.7568,29.7864,2.0296,26.7666,30.8258,False
cell_00_00,4,era5_precipitation_total,3,8.1421,2.4749,10.7878,1.1059,1.922,11.5287,9.6067,1.369,20.5825,False
cell_00_00,4,era5_wind_speed_mean,3,2.5436,2.476,0.232,0.123,2.4145,2.6389,0.2245,2.3529,2.8019,False
cell_00_00,5,ndvi_mean,3,0.0859,0.0797,0.0153,0.0051,0.0771,0.0915,0.0144,0.0746,0.1033,False
cell_00_00,5,ndbi_mean,3,0.0668,0.0697,0.0189,0.0145,0.0581,0.0769,0.0188,0.0466,0.0841,False
cell_00_00,5,ndwi_mean,3,-0.1597,-0.158,0.0042,0.0014,-0.1613,-0.1573,0.0039,-0.1645,-0.1566,False
cell_00_00,5,viirs_avg_rad_mean,3,26.6219,26.944,1.5782,1.0701,25.9257,27.4791,1.5534,24.9074,28.0141,False
cell_00_00,5,era5_temperature_mean,3,31.8202,32.3862,2.2892,1.3871,30.8436,33.0797,2.2361,29.3011,33.7733,False
cell_00_00,5,era5_precipitation_total,3,34.7703,29.1701,36.8139,28.0927,15.1237,51.6168,36.4931,1.0774,74.0635,False
cell_00_00,5,era5_wind_speed_mean,3,2.5911,2.5082,0.2132,0.0763,2.47,2.6708,0.2008,2.4318,2.8334,False
