cell_id,month,feature,operational_value,climatological_median,climatological_mad,climatological_n_obs,raw_residual,robust_z_score
cell_00_00,2026-03,ndvi_mean,0.0867,0.0911,0.0009,3,-0.0044,-3.2898
cell_00_00,2026-03,ndbi_mean,0.0636,0.0472,0.0066,3,0.0164,1.6758
cell_00_00,2026-03,ndwi_mean,-0.1609,-0.1625,0.0022,3,0.0016,0.4903
cell_00_00,2026-03,viirs_avg_rad_mean,37.9768,29.5705,0.2366,3,8.4063,23.9645
cell_00_00,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_00,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_00,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_01,2026-03,ndvi_mean,0.4042,0.3869,0.0411,3,0.0173,0.2839
cell_00_01,2026-03,ndbi_mean,-0.0308,-0.0327,0.0284,3,0.0019,0.0441
cell_00_01,2026-03,ndwi_mean,-0.4322,-0.3989,0.0149,3,-0.0333,-1.5058
cell_00_01,2026-03,viirs_avg_rad_mean,28.2764,26.2527,0.8263,3,2.0237,1.6519
cell_00_01,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_01,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_01,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_02,2026-03,ndvi_mean,0.7094,0.5629,0.0022,3,0.1465,44.9067
cell_00_02,2026-03,ndbi_mean,-0.1467,-0.07,0.0302,3,-0.0767,-1.7138
cell_00_02,2026-03,ndwi_mean,-0.6744,-0.5622,0.0208,3,-0.1122,-3.6368
cell_00_02,2026-03,viirs_avg_rad_mean,27.1293,25.2582,1.3003,3,1.8711,0.9706
cell_00_02,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_02,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_02,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_03,2026-03,ndvi_mean,0.6835,0.5474,0.016,3,0.1361,5.7373
cell_00_03,2026-03,ndbi_mean,-0.1437,-0.059,0.0069,3,-0.0847,-8.2769
cell_00_03,2026-03,ndwi_mean,-0.6373,-0.5343,0.0276,3,-0.103,-2.5173
cell_00_03,2026-03,viirs_avg_rad_mean,31.0696,27.9049,2.2091,3,3.1647,0.9662
cell_00_03,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_03,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_03,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_04,2026-03,ndvi_mean,0.7318,0.6004,0.052,3,0.1314,1.7045
cell_00_04,2026-03,ndbi_mean,-0.1821,-0.0798,0.0171,3,-0.1023,-4.0347
cell_00_04,2026-03,ndwi_mean,-0.6682,-0.5655,0.0419,3,-0.1027,-1.6533
cell_00_04,2026-03,viirs_avg_rad_mean,27.65,21.5693,1.497,3,6.0807,2.7397
cell_00_04,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_04,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_04,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_05,2026-03,ndvi_mean,0.5255,0.481,0.0272,3,0.0445,1.1039
cell_00_05,2026-03,ndbi_mean,-0.0559,-0.0422,0.0076,3,-0.0137,-1.2122
cell_00_05,2026-03,ndwi_mean,-0.5383,-0.4937,0.0273,3,-0.0446,-1.1028
cell_00_05,2026-03,viirs_avg_rad_mean,39.4004,32.0583,4.375,3,7.3421,1.1319
cell_00_05,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_05,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_05,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_06,2026-03,ndvi_mean,0.3289,0.3092,0.0023,3,0.0197,5.7895
cell_00_06,2026-03,ndbi_mean,-0.0216,-0.0266,0.0062,3,0.005,0.5389
cell_00_06,2026-03,ndwi_mean,-0.371,-0.3465,0.0035,3,-0.0245,-4.7174
cell_00_06,2026-03,viirs_avg_rad_mean,48.8213,40.096,2.9869,3,8.7253,1.9703
cell_00_06,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_06,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_06,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_07,2026-03,ndvi_mean,0.2499,0.2654,0.0008,3,-0.0155,-13.0523
cell_00_07,2026-03,ndbi_mean,0.0038,-0.0103,0.0007,3,0.0141,13.6069
cell_00_07,2026-03,ndwi_mean,-0.3035,-0.3173,0.0023,3,0.0138,4.0591
cell_00_07,2026-03,viirs_avg_rad_mean,57.642,53.6466,5.1585,3,3.9954,0.5224
cell_00_07,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_07,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_07,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_08,2026-03,ndvi_mean,0.2833,0.2848,0.0006,3,-0.0015,-1.6625
cell_00_08,2026-03,ndbi_mean,-0.0001,-0.0066,0.007,3,0.0065,0.6252
cell_00_08,2026-03,ndwi_mean,-0.3529,-0.3509,0.0009,3,-0.002,-1.4841
cell_00_08,2026-03,viirs_avg_rad_mean,59.3217,58.4029,4.6176,3,0.9188,0.1342
cell_00_08,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_08,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_08,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_09,2026-03,ndvi_mean,0.2057,0.1993,0.0005,3,0.0064,8.623
cell_00_09,2026-03,ndbi_mean,0.0308,0.031,0.006,3,-0.0002,-0.0215
cell_00_09,2026-03,ndwi_mean,-0.2898,-0.2764,0.0006,3,-0.0134,-15.1114
cell_00_09,2026-03,viirs_avg_rad_mean,59.3826,58.0384,3.7919,3,1.3442,0.2391
cell_00_09,2026-03,era5_temperature_mean,23.5051,22.2202,0.4712,3,1.2849,1.8393
cell_00_09,2026-03,era5_precipitation_total,27.401,39.4606,26.5335,3,-12.0596,-0.3066
cell_00_09,2026-03,era5_wind_speed_mean,2.4575,2.5074,0.3299,3,-0.0499,-0.102
cell_00_10,2026-03,ndvi_mean,0.2513,0.2433,0.0005,3,0.008,10.7457
cell_00_10,2026-03,ndbi_mean,0.0193,0.0055,0.0097,3,0.0138,0.9629
cell_00_10,2026-03,ndwi_mean,-0.3007,-0.2912,0.0055,3,-0.0095,-1.1677
cell_00_10,2026-03,viirs_avg_rad_mean,53.1407,53.283,2.4441,3,-0.1423,-0.0393
cell_00_10,2026-03,era5_temperature_mean,23.4861,22.2104,0.5112,3,1.2757,1.6833
cell_00_10,2026-03,era5_precipitation_total,25.6328,40.5181,26.2016,3,-14.8853,-0.3832
cell_00_10,2026-03,era5_wind_speed_mean,2.4442,2.5023,0.3197,3,-0.0581,-0.1225
cell_00_11,2026-03,ndvi_mean,0.5265,0.3665,0.0032,3,0.16,33.7256
cell_00_11,2026-03,ndbi_mean,0.0347,0.0932,0.0375,3,-0.0585,-1.0523
cell_00_11,2026-03,ndwi_mean,-0.5858,-0.4451,0.0274,3,-0.1407,-3.4627
cell_00_11,2026-03,viirs_avg_rad_mean,37.5296,36.1216,1.2915,3,1.408,0.7353
cell_00_11,2026-03,era5_temperature_mean,23.4861,22.2104,0.5112,3,1.2757,1.6833
cell_00_11,2026-03,era5_precipitation_total,25.6328,40.5181,26.2016,3,-14.8853,-0.3832
cell_00_11,2026-03,era5_wind_speed_mean,2.4442,2.5023,0.3197,3,-0.0581,-0.1225
cell_00_12,2026-03,ndvi_mean,0.3485,0.2927,0.0238,3,0.0558,1.5801
cell_00_12,2026-03,ndbi_mean,0.0143,0.0349,0.0079,3,-0.0206,-1.7552
cell_00_12,2026-03,ndwi_mean,-0.405,-0.3423,0.0191,3,-0.0627,-2.2141
